RepRapFirmware height map file v2 generated at 2026-05-23 18:55, min error -0.105, max error 0.150, mean 0.016, deviation 0.047
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,5.00,335.00,5.00,295.00,-1.00,22.00,19.33,16,16
  0.067,  0.017, -0.000,  0.018,  0.041,  0.013,  0.019, -0.029, -0.020, -0.052, -0.051, -0.077, -0.050, -0.078, -0.097, -0.094
  0.038,  0.029, -0.030,  0.020,  0.016, -0.003, -0.026, -0.046, -0.051, -0.035, -0.054, -0.050, -0.070, -0.079, -0.097, -0.105
  0.058,  0.024, -0.039, -0.001,  0.047,  0.028, -0.009, -0.049, -0.027, -0.040,  0.007, -0.024, -0.063, -0.061, -0.050, -0.052
  0.031,  0.040, -0.000,  0.010,  0.001,  0.002,  0.001,  0.011, -0.009, -0.027, -0.002, -0.030, -0.019, -0.020, -0.008, -0.048
  0.012,  0.028,  0.032,  0.038,  0.038,  0.017, -0.006,  0.005,  0.010, -0.015, -0.027, -0.011, -0.017, -0.015, -0.028, -0.044
  0.013, -0.016,  0.004,  0.009, -0.007,  0.014, -0.009,  0.014,  0.014,  0.015, -0.007, -0.015,  0.016, -0.008,  0.010, -0.046
 -0.006, -0.020, -0.011,  0.011,  0.020,  0.035,  0.046, -0.007, -0.003, -0.009, -0.034,  0.031, -0.016, -0.021,  0.033,  0.015
  0.013, -0.027, -0.050,  0.004, -0.004,  0.044, -0.006, -0.035, -0.032, -0.033, -0.008,  0.007,  0.021, -0.020,  0.026,  0.052
  0.024, -0.015, -0.036,  0.004,  0.010,  0.029,  0.010, -0.014, -0.017,  0.012,  0.053,  0.053,  0.042,  0.010,  0.023,  0.056
  0.038,  0.014,  0.036,  0.024,  0.021,  0.025,  0.035,  0.011,  0.003,  0.050,  0.108,  0.067,  0.069,  0.046,  0.095,  0.087
  0.046,  0.042,  0.022,  0.021,  0.035,  0.051,  0.031,  0.029,  0.045,  0.060,  0.082,  0.067,  0.082,  0.071,  0.112,  0.106
  0.042,  0.039,  0.047,  0.038,  0.010,  0.020,  0.026,  0.028,  0.067,  0.069,  0.092,  0.085,  0.110,  0.085,  0.117,  0.116
  0.028, -0.012,  0.032,  0.008,  0.015,  0.013,  0.010,  0.009,  0.072,  0.083,  0.107,  0.102,  0.079,  0.079,  0.082,  0.100
 -0.027, -0.018, -0.028, -0.026, -0.042,  0.011, -0.004, -0.020,  0.058,  0.093,  0.108,  0.077,  0.080,  0.035,  0.081,  0.134
  0.000,  0.052,  0.037,  0.005, -0.021,  0.004, -0.004, -0.017,  0.037,  0.068,  0.082,  0.100,  0.081,  0.059,  0.088,  0.098
  0.009,  0.084,  0.044,  0.011, -0.066, -0.048, -0.036, -0.036, -0.010,  0.032,  0.035,  0.039,  0.053,  0.131,  0.150,  0.100
